Name,%,Price,Rating,Release,Ends,Started
"Food Truck Simulator   all-time low: R$ 20,89 at -45%",-54%,"R$ 36,43",65.90%,Sep 2022,—,5 days ago
"Unalive   all-time low: R$ 0,85 at -81%",-90%,"R$ 1,74",65.84%,Jan 2017,in 8 days,6 days ago
"Demented   all-time low: R$ 1,08 at -90%",-90%,"R$ 1,74",65.80%,Mar 2016,in 8 days,6 days ago
"Dinosaur Hunt  Week Long Deal all-time low: R$ 0,67 at -69%",-50%,"R$ 1,74",65.74%,Sep 2015,in 3 hours,7 days ago
"Spirit of the Island   all-time low: R$ 6,47 at -88%",-70%,"R$ 13,49",65.65%,Aug 2022,tomorrow,5 days ago
"The Gallery   all-time low: R$ 27,50 at -50%",-35%,"R$ 35,75",65.58%,Sep 2022,in 9 days,5 days ago
Legendary Hoplite,-75%,"R$ 11,74",65.54%,Feb 2024,in 2 days,5 days ago
"True or False  Week Long Deal all-time low: R$ 1,09 at -50%",-80%,"R$ 3,39",65.47%,Sep 2016,in 3 hours,7 days ago
Furry Arena [18+],-45%,"R$ 3,84",65.47%,Dec 2022,in 9 days,5 days ago
Potentia,-75%,"R$ 14,99",65.46%,Feb 2021,21 hours ago,15 days ago
"Master of the Harem Guild   all-time low: R$ 13,44 at -50%",-65%,"R$ 16,09",65.45%,Oct 2018,4 days ago,18 days ago
"Dreamscapes: Nightmare's Heir - Premium Edition   all-time low: R$ 2,09 at -85%",-30%,"R$ 16,45",65.43%,Mar 2015,in 2 days,12 days ago
"STAR WARS™: Squadrons   all-time low: R$ 9,95 at -95%",-80%,"R$ 39,80",65.38%,Oct 2020,in 3 hours,14 days ago
"Inner silence   all-time low: R$ 0,67 at -69%",-50%,"R$ 1,74",65.36%,Feb 2017,in 8 days,6 days ago
"Heaven Forest - VR MMO  Week Long Deal all-time low: R$ 0,67 at -69%",-44%,"R$ 1,84",65.36%,Dec 2016,in 3 hours,7 days ago
Three Kingdoms Zhao Yun,-45%,"R$ 32,99",65.34%,Jan 2024,in 9 days,5 days ago
